the;1086322084;1
and;570238088;0.524925431
to;567125659;0.522060324
of;520616100;0.47924654
a;450818768;0.414995492
in;347194633;0.319605611
is;248380169;0.228643211
that;224519835;0.206678883
for;208388402;0.191829297
I;182655261;0.168140981
you;182453085;0.167954871
it;178836372;0.164625551
with;156119520;0.143713842
on;144467343;0.132987578
as;131550003;0.121096685
are;127182849;0.117076557
be;121334041;0.111692511
this;118313376;0.108911876
was;101276933;0.093229195
have;98995039;0.091128626
or;91357988;0.084098436
at;88985877;0.081914819
not;87283369;0.080347597
your;86771653;0.079876543
from;84815518;0.078075848
we;81286792;0.074827524
by;80592007;0.074187949
will;75287940;0.069305357
can;73380242;0.06754925
but;73083776;0.067276342
they;72519671;0.066757062
an;70739017;0.065117904
he;67251894;0.061907877
all;61495030;0.056608469
has;56078674;0.051622511
if;55913287;0.051470266
their;55489229;0.051079905
one;53923171;0.04963829
do;53876351;0.049595191
more;52863332;0.048662669
n't;52097921;0.04795808
my;52066603;0.04792925
his;50951208;0.046902488
so;49213525;0.045302886
there;47444673;0.043674591
about;46693627;0.042983225
which;45739634;0.042105039
when;44528548;0.040990189
what;43721332;0.040247117
out;41303918;0.038021797
up;40865639;0.037618345
our;40747450;0.037509548
who;39513873;0.036373994
also;39076493;0.035971369
had;37580331;0.034594096
time;37416837;0.034443594
some;36631344;0.033720519
would;36278124;0.033395366
were;34456212;0.031718228
like;34146192;0.031432843
been;34043476;0.03133829
just;33799176;0.031113402
her;33758030;0.031075526
new;33361392;0.030710406
other;32942994;0.030325255
them;32105569;0.029554374
she;30841495;0.028390747
people;30421073;0.028003732
these;30346365;0.027934961
no;29934430;0.027555759
get;29850777;0.027478754
how;29615038;0.027261747
me;28754532;0.026469619
into;28642590;0.026366573
than;27631684;0.025435996
only;26533516;0.024425091
its;26289380;0.024200355
most;26036206;0.023967299
may;25711134;0.023668058
any;25708576;0.023665703
many;24844281;0.022870087
make;24392340;0.022454059
then;24304264;0.022372982
well;24020281;0.022111565
first;23900423;0.022001231
very;23718574;0.021833832
over;23433481;0.021571393
now;23268050;0.021419108
could;22732394;0.020926017
after;22564231;0.020771216
even;22246087;0.020478353
because;21575657;0.019861197
us;21188627;0.019504922
said;21118317;0.019440199
good;20850458;0.019193624
way;20753150;0.019104049
two;20615564;0.018977396
should;20364151;0.018745961
work;20294419;0.01868177
use;20209195;0.018603318
through;19457545;0.017911396
see;19255611;0.017725508
know;18633716;0.017153031
did;18617523;0.017138124
much;18586676;0.017109729
where;18527936;0.017055656
years;18475373;0.01700727
need;18152024;0.016709615
him;18135444;0.016694353
back;18086300;0.016649114
such;18002390;0.016571872
those;17394626;0.016012402
being;17186684;0.015820984
day;17147221;0.015784657
take;17051169;0.015696237
while;16987528;0.015637653
here;16157575;0.01487365
before;16110780;0.014830574
does;16024521;0.014751169
great;15802739;0.014547011
year;15756464;0.014504413
go;15240443;0.014029396
help;15204513;0.013996321
want;15201049;0.013993133
really;14905838;0.01372138
think;14528861;0.013374359
best;14508216;0.013355354
life;14478608;0.013328099
each;14461675;0.013312511
made;14403756;0.013259195
right;14243466;0.013111642
world;14112944;0.012991491
business;13705631;0.012616545
home;13687649;0.012599991
own;13596911;0.012516464
down;13544228;0.012467967
still;13472686;0.01240211
used;13392282;0.012328095
find;13384274;0.012320723
around;13218230;0.012167874
going;12925606;0.011898502
every;12882762;0.011859063
both;12687801;0.011679594
last;12596956;0.011595968
off;12568448;0.011569725
too;12470769;0.011479808
same;12419285;0.011432415
information;12031414;0.011075365
little;11695673;0.010766303
another;11540840;0.010623774
look;11432731;0.010524255
few;11401511;0.010495516
long;11264930;0.010369788
part;11168135;0.010280685
since;11143932;0.010258405
things;11137850;0.010252806
place;11129389;0.010245018
am;10905198;0.010038642
between;10820784;0.009960935
during;10808095;0.009949255
different;10797013;0.009939053
must;10690628;0.009841122
come;10664434;0.009817009
using;10487785;0.009654397
however;10477701;0.009645115
without;10375679;0.0095512
high;10272381;0.00945611
why;10239970;0.009426274
something;10238690;0.009425096
online;10191169;0.009381351
system;10112358;0.009308803
better;10080112;0.009279119
three;10069875;0.009269696
never;10040300;0.009242471
always;10021039;0.00922474
love;9978269;0.009185369
say;9940058;0.009150194
might;9758074;0.008982671
next;9327423;0.008586241
company;9314939;0.008574749
state;9213709;0.008481563
number;9200697;0.008469585
again;9157338;0.008429671
free;9139571;0.008413316
lot;9110408;0.00838647
under;8999181;0.008284082
family;8942739;0.008232125
found;8871991;0.008166999
within;8821032;0.008120089
give;8816968;0.008116348
set;8815554;0.008115046
school;8755836;0.008060074
important;8743753;0.008048951
water;8685078;0.007994938
able;8670394;0.007981421
keep;8648208;0.007960998
got;8642205;0.007955472
sure;8552448;0.007872847
end;8551115;0.00787162
money;8534863;0.00785666
service;8521606;0.007844456
small;8519934;0.007842917
put;8378749;0.007712951
experience;8364514;0.007699847
having;8280863;0.007622843
once;8236139;0.007581673
available;8220464;0.007567244
health;8159671;0.007511282
support;8131832;0.007485655
often;8108755;0.007464411
including;8082359;0.007440113
days;7951767;0.007319898
away;7854419;0.007230286
old;7820868;0.007199401
area;7800194;0.00718037
feel;7775709;0.00715783
read;7745587;0.007130102
show;7710438;0.007097746
big;7641799;0.007034561
against;7635745;0.007028988
thing;7634241;0.007027604
order;7629741;0.007023461
program;7611088;0.00700629
though;7607072;0.007002594
city;7559832;0.006959107
group;7551142;0.006951108
services;7537055;0.00693814
site;7534726;0.006935996
making;7500588;0.006904571
course;7482521;0.00688794
point;7457133;0.006864569
children;7430693;0.00684023
times;7398973;0.006811031
team;7390401;0.00680314
game;7381510;0.006794955
along;7364949;0.00677971
let;7282798;0.006704087
house;7276154;0.006697971
today;7266420;0.006689011
body;7246785;0.006670936
working;7220862;0.006647073
case;7216227;0.006642806
man;7208651;0.006635832
real;7200538;0.006628364
provide;7196400;0.006624555
care;7157937;0.006589148
public;7148402;0.006580371
top;7138687;0.006571428
looking;7117515;0.006551938
several;7102789;0.006538382
start;7099284;0.006535156
less;7062487;0.006501283
process;7013084;0.006455805
become;7005933;0.006449223
actually;7003268;0.006446769
local;6986621;0.006431445
together;6940525;0.006389012
person;6926168;0.006375796
change;6915113;0.006365619
book;6893942;0.006346131
enough;6877100;0.006330627
getting;6850070;0.006305745
week;6837795;0.006294445
power;6825500;0.006283127
until;6821252;0.006279217
market;6820644;0.006278657
fact;6793786;0.006253933
god;6721690;0.006187566
food;6697065;0.006164898
students;6693375;0.006161501
full;6685773;0.006154503
women;6655732;0.00612685
community;6649245;0.006120878
name;6635921;0.006108613
second;6629530;0.00610273
data;6494503;0.005978432
government;6493787;0.005977773
says;6454215;0.005941346
others;6446289;0.005934049
ever;6427629;0.005916872
yet;6393300;0.005885271
research;6383726;0.005876458
done;6342538;0.005838543
left;6338022;0.005834386
far;6264791;0.005766974
large;6252388;0.005755556
called;6230129;0.005735066
doing;6216192;0.005722237
already;6209056;0.005715668
development;6202644;0.005709765
social;6152475;0.005663583
open;6147111;0.005658645
possible;6077457;0.005594526
side;6064135;0.005582262
play;6003199;0.005526169
means;5983711;0.005508229
needs;5968865;0.005494563
try;5945472;0.005473029
came;5943203;0.00547094
ca;5931957;0.005460588
based;5882703;0.005415248
hard;5873296;0.005406588
thought;5855929;0.005390601
products;5846806;0.005382203
national;5823955;0.005361168
quality;5795607;0.005335072
level;5787450;0.005327564
live;5765272;0.005307148
design;5743688;0.005287279
makes;5731317;0.005275891
project;5706449;0.005252999
line;5659531;0.005209809
night;5647605;0.005198831
least;5642047;0.005193715
whether;5622030;0.005175288
job;5607499;0.005161912
car;5606213;0.005160728
example;5606206;0.005160722
include;5578401;0.005135126
following;5563335;0.005121257
given;5562871;0.00512083
website;5523539;0.005084624
past;5521393;0.005082648
plan;5515382;0.005077115
offer;5514280;0.0050761
buy;5506714;0.005069136
call;5504516;0.005067112
went;5480066;0.005044605
simply;5454708;0.005021262
hand;5449925;0.005016859
music;5442615;0.00501013
easy;5419406;0.004988765
problem;5403421;0.004974051
men;5394825;0.004966138
country;5386469;0.004958446
took;5377725;0.004950396
four;5377713;0.004950385
members;5368209;0.004941637
form;5354037;0.004928591
personal;5349863;0.004924748
control;5333560;0.004909741
energy;5321630;0.004898759
room;5310225;0.00488826
head;5285296;0.004865312
pay;5250846;0.0048336
create;5231117;0.004815438
run;5230595;0.004814958
kind;5225514;0.004810281
credit;5223410;0.004808344
almost;5207417;0.004793622
believe;5167436;0.004756818
quite;5164499;0.004754114
mind;5151349;0.004742009
law;5147513;0.004738478
early;5144825;0.004736003
